Date & Time,Hostname, % Packet Loss, Round trip time (ms)
2015-09-02 14:52:24,drcvodam5k01,0,713.
2015-09-02 14:55:29,drcvodam5k01,0,191.
2015-09-02 14:59:06,drcvodam5k01,0,187.
2015-09-02 15:01:51,drcvodam5k01,0,187.
2015-09-02 15:02:50,drcvodam5k01,0,578.
2015-09-02 15:10:07,drcvodam5k01,0,185.
2015-09-02 15:20:07,drcvodam5k01,0,199.
2015-09-02 15:30:08,drcvodam5k01,0,188.
2015-09-02 15:40:07,drcvodam5k01,0,190.
2015-09-02 15:50:07,drcvodam5k01,0,187.
2015-09-02 16:00:07,drcvodam5k01,0,189.
2015-09-02 16:10:07,drcvodam5k01,0,187.
2015-09-02 16:20:07,drcvodam5k01,0,189.
2015-09-02 16:30:07,drcvodam5k01,0,524.
2015-09-02 16:40:07,drcvodam5k01,0,189.
2015-09-02 16:50:07,drcvodam5k01,0,187.
2015-09-02 17:00:07,drcvodam5k01,0,188.
2015-09-02 17:10:07,drcvodam5k01,0,189.
2015-09-02 17:20:07,drcvodam5k01,0,190.
2015-09-02 17:30:08,drcvodam5k01,0,187.
2015-09-02 17:50:07,drcvodam5k01,0,190.
2015-09-02 18:00:07,drcvodam5k01,0,190.
2015-09-02 18:20:06,drcvodam5k01,0,189.
2015-09-02 18:40:07,drcvodam5k01,0,189.
2015-09-02 18:50:07,drcvodam5k01,0,185.
2015-09-02 19:00:07,drcvodam5k01,0,194.
2015-09-02 19:10:07,drcvodam5k01,0,187.
2015-09-02 19:20:07,drcvodam5k01,0,190.
2015-09-02 19:30:07,drcvodam5k01,0,187.
2015-09-02 19:40:07,drcvodam5k01,0,190.
2015-09-02 19:50:06,drcvodam5k01,0,185.
2015-09-02 20:00:06,drcvodam5k01,0,189.
2015-09-02 20:10:06,drcvodam5k01,0,186.
2015-09-02 20:30:07,drcvodam5k01,0,191.
2015-09-02 20:40:06,drcvodam5k01,0,187.
2015-09-02 20:50:06,drcvodam5k01,0,186.
2015-09-02 21:00:07,drcvodam5k01,0,188.
2015-09-02 21:10:07,drcvodam5k01,0,189.
2015-09-02 21:20:07,drcvodam5k01,0,187.
2015-09-02 21:30:07,drcvodam5k01,0,186.
2015-09-02 21:40:07,drcvodam5k01,0,187.
2015-09-02 21:50:07,drcvodam5k01,0,185.
2015-09-02 22:00:06,drcvodam5k01,0,188.
2015-09-02 22:10:07,drcvodam5k01,0,187.
2015-09-02 22:20:07,drcvodam5k01,0,189.
2015-09-02 22:40:06,drcvodam5k01,0,189.
2015-09-02 22:50:07,drcvodam5k01,0,185.
2015-09-02 23:00:06,drcvodam5k01,0,189.
2015-09-02 23:10:07,drcvodam5k01,0,190.
2015-09-02 23:20:07,drcvodam5k01,0,189.
2015-09-02 23:30:06,drcvodam5k01,0,190.
2015-09-02 23:40:07,drcvodam5k01,0,188.
2015-09-02 23:50:07,drcvodam5k01,0,185.
2015-09-03 00:00:07,drcvodam5k01,0,187.
2015-09-03 00:10:07,drcvodam5k01,0,186.
2015-09-03 00:20:07,drcvodam5k01,0,188.
2015-09-03 00:30:07,drcvodam5k01,0,186.
2015-09-03 00:40:07,drcvodam5k01,0,191.
2015-09-03 00:50:07,drcvodam5k01,0,186.
2015-09-03 01:00:06,drcvodam5k01,0,186.
2015-09-03 01:10:06,drcvodam5k01,0,186.
2015-09-03 01:20:06,drcvodam5k01,0,187.
2015-09-03 01:30:06,drcvodam5k01,0,187.
